Título,"Taxa de encarceramento, por estado",,,,,,,,,,,,
Unidade,Número de pessoas presas por cada 100mil habitantes,,,,,,,,,,,,
Fonte,Ministério da Justiça (dezembro de 2014),,,,,,,,,,,,
Fonte link,,,,,,,,,,,,,
Notas,,,,,,,,,,,,,
,,,,,,,,,,,,, 
Estado,Taxa de encarceramento,,,,,,,,,,,,
MA,98,,,,,,,,,,, ,
PI,100,,,,,,,,,,,,
BA,103,,,,,,,,,,,,
PA,156,,,,,,,,,,,,
AL,178,,,,,,,,,,,,
SE,209,,,,,,,,,,,,
RN,224,,,,,,,,,,,,'
AM,228,,,,,,,,,,,,
GO,238,,,,,,,,,,,,
CE,244,,,,,,,,,,,,
RJ,244,,,,,,,,,,,,
SC,249,,,,,,,,,,,,
RS,251,,,,,,,,,,,,
PR,252,,,,,,,,,,,,
PB,265,,,,,,,,,,,,
PE,289,,,,,,,,,,,,
MG,296,,,,,,,,,,,,
MT,314,,,,,,,,,,,,
RR,322,,,,,,,,,,,,
AP,353,,,,,,,,,,,,
TO,385,,,,,,,,,,,,
ES,429,,,,,,,,,,,,
SP,499,,,,,,,,,,,,
DF,505,,,,,,,,,,,,
MS,530,,,,,,,,,,,,
AC,535,,,,,,,,,,,,
RO,1026,,,,,,,,,,,,
BR,306,,,,,,,,,,,,
ONU,110,,,,,,,,,,,,
